courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
COLLEGEROAD HUB NASHIK,0,0.0,5.68,7.17,Ignore
SULURHUB_CJB COIMBATORE,0,0.0,5.92,7.17,Ignore
KOKARHUB_IXR KANTATOLLI,0,0.0,5.24,7.17,Ignore
ADITYAPURHUB_IXW JAMSHEDPUR,0,0.0,7.17,7.17,Ignore
THIRUVERUMBUR HUB TRICHY,0,0.0,4.78,7.17,Ignore
PAONTASAHIBHUB_PAO PAONTA SAHIB,0,0.0,7.16,7.16,Ignore
BIRSAMDH_BIR BIRSRA,0,0.0,7.16,7.16,Ignore
MAHRAJGANJHUB_MRJ MAHRAJGANJ,0,0.0,7.16,7.16,Ignore
BARIPADAHUB_BPO BARIPADA,0,0.0,7.16,7.16,Ignore
KOLLEGALAHUB_KLG KOLLEGALA,0,0.0,7.16,7.16,Ignore
SANVORDEM HUB SANVORDEM,0,0.0,6.39,7.15,Ignore
ELASTICRUNPANIKOILIODH_JJK JAJPUR,0,0.0,7.15,7.15,Ignore
MASJIDHUB_MUM MUMBAI,0,0.0,3.16,7.15,Ignore
GUNAHUB_GUN GUNA,0,0.0,6.61,7.14,Ignore
CABTSRNAGARODH_HYD HYDERABAD,0,0.0,5.88,7.14,Ignore
ICHALKARANJI HUB ICHALKARANJI,0,0.0,7.07,7.14,Ignore
"WASHIM, MAHARASHTRA, IN",0,0.0,5.2,7.14,Ignore
TADAHUB_TDA SULLURPETA,0,0.0,7.14,7.14,Ignore
SHAPURHUB_HYD HYDERABAD,0,0.0,3.58,7.14,Ignore
BHIWADI,0,0.0,6.89,7.13,Ignore
BODHANHUB_BDN BODHAN,0,0.0,7.13,7.13,Ignore
RATIAODH_RTA RATIA,0,0.0,4.59,7.12,Ignore
HARURODH_DMP HARUR,0,0.0,7.12,7.12,Ignore
PATTUKKOTAIHUB_PTT PATTUKKOTTAI,0,0.0,6.73,7.12,Ignore
SHAKTINAGARMDH_AAA SONBHADRA,0,0.0,7.12,7.12,Ignore
TTSPLAKLUJODH_ALJ AKLUJ,0,0.0,5.66,7.12,Ignore
RAJARAM BIRDS SHOP TUTICORIN,0,0.0,7.11,7.11,Ignore
MD ATIK STORE NEW DELHI,0,0.0,7.11,7.11,Ignore
SHAKTIODH_SHA RAIGARH,0,0.0,6.0,7.11,Ignore
MANARCADU_MRD KOTTAYAM,0,0.0,6.09,7.1,Ignore
RAMESHWAR MALI STORE BHILWARA,0,0.0,7.09,7.09,Ignore
CHANDANNAGAR HUB HOOGLY,0,0.0,3.91,7.09,Ignore
PRITAM KUMAR NEW DELHI,0,0.0,2.89,7.09,Ignore
ADONI,0,0.0,7.08,7.08,Ignore
GOOTYHUB_GTY GOOTY,0,0.0,7.08,7.08,Ignore
AJMER HUB AJMER,0,0.0,5.95,7.08,Ignore
GURUVAYOORHUB_GYO GURUVAYOOR,0,0.0,7.07,7.07,Ignore
IDENTIFYPLUSMANALIMDH_MNL MANALI,0,0.0,7.07,7.07,Ignore
TUMSARHUB_TMS TUMSAR,0,0.0,5.99,7.07,Ignore
JALANDHAR HUB JALANDHAR,0,0.0,3.99,7.07,Ignore
CABTBANDAODH_BND BANDA,0,0.0,5.88,7.06,Ignore
JAMLANI ENTERPRISE JAMNAGAR,0,0.0,7.06,7.06,Ignore
BETULHUB_BTL BETUL,0,0.0,2.85,7.06,Ignore
BEGUSARAIHUB_BGI BEGUSARAI,0,0.0,3.92,7.06,Ignore
SIRCILLA,0,0.0,3.79,7.05,Ignore
CUTTACK HUB,0,0.0,7.05,7.05,Ignore
SRINAGARUKHUB_SRI SRINAGAR,0,0.0,7.04,7.04,Ignore
KALAWADROADHUB_RAJ,0,0.0,1.47,7.04,Ignore
MADIAN PROVISION STORE DEHRADUN,0,0.0,4.99,7.04,Ignore
TIGER STORE NEW DELHI,0,0.0,6.79,7.04,Ignore
SETHI STORE NEW DELHI,0,0.0,5.98,7.04,Ignore
KIRAN KUMAR HOME BANGALORE,0,0.0,7.03,7.03,Ignore
RITIKA MANGESH JADHAV PUNE,0,0.0,7.03,7.03,Ignore
LIBRAODH_LBR KHANNA,0,0.0,7.03,7.03,Ignore
"KAKDWEEP, KAKDWIP, WEST BENGAL",0,0.0,5.16,7.03,Ignore
NIKKOUCHIKKAJALAODH_BLR BENGULURU,0,0.0,5.09,7.03,Ignore
NEW YOU BEAUTY SALOON DEHRADUN,0,0.0,7.03,7.03,Ignore
KAMANIHUB_MUM MUMBAI,0,0.0,3.47,7.03,Ignore
GULBARGA HUB GULBARGA,0,0.0,5.15,7.03,Ignore
CHAKKULATHUKAVUHUB_CKU THIRUVALLA,0,0.0,6.31,7.03,Ignore
RAMNAGARMDH_RNR NARKATIAGANJ,0,0.0,7.03,7.03,Ignore
PARVATPATIYA HUB SURAT,0,0.0,4.05,7.03,Ignore
VIZHINJAMHUB_VJM TRIVANDRUM,0,0.0,6.97,7.02,Ignore
NARIKKUNI,0,0.0,3.6,7.02,Ignore
KAYAMKULAMHUB_KKM KAYAMKULAM,0,0.0,4.05,7.02,Ignore
RAJENDRANAGAR HUB INDORE,0,0.0,3.24,7.02,Ignore
KENGERIHUB_BLR BENGALURU,0,0.0,3.61,7.01,Ignore
THENJIPALAMHUB_TJI THENJIPALAM,0,0.0,4.38,7.01,Ignore
ELAMAKKARAHUB_COK COCHIN,0,0.0,6.0,7.01,Ignore
"KAMOTHE, MAHARASHTRA, IN",0,0.0,5.23,7.01,Ignore
VXPRESSHARMUSPLITODH_IXR RANCHI,0,0.0,6.16,7.0,Ignore
"DELHI, DELHI, IN",0,0.0,6.96,6.99,Ignore
NAGERCOIL HUB NAGERCOIL,0,0.0,6.1,6.99,Ignore
ZALA HOME JETPUR,0,0.0,6.99,6.99,Ignore
HUVINAHADAGALIHUB_HUV HUVINAHADAGALI,0,0.0,3.15,6.99,Ignore
ELASTICRUNMANKAPURODH_MAN NAGPUR,0,0.0,6.91,6.99,Ignore
LUDHIANA HUB LUDHIANA,0,0.0,6.84,6.99,Ignore
FEROZEPURHUB_FER FEROZEPUR,0,0.0,5.42,6.98,Ignore
PETTA_PEA TRIVANDRUM,0,0.0,4.76,6.97,Ignore
VIJAYAWADAHUB_VJA VIJAYAWADA,0,0.0,6.15,6.97,Ignore
VXPRESSNAVAPURODH_NVP NAVAPUR,0,0.0,6.97,6.97,Ignore
MIRZAPURHUB_MZP MIRZAPUR,0,0.0,6.97,6.97,Ignore
CABTSOSYOCIRCLEODH_STV SURAT,0,0.0,3.43,6.97,Ignore
DAPOL,0,0.0,6.97,6.97,Ignore
"BINOLA INDUSTRIAL AREA, HARYANA, IN",0,0.0,5.0,6.96,Ignore
MUVATTUPUZHAHUB_MVA THODUPUZHA,0,0.0,5.92,6.95,Ignore
KHERI,0,0.0,6.03,6.95,Ignore
MANGOCITYHUB_SXV SALEM,0,0.0,3.97,6.95,Ignore
"RNC/BRT-TML, RANCHI, JHARKHAND",0,0.0,6.95,6.95,Ignore
KULLUHUB_KUL KULLU,0,0.0,6.38,6.94,Ignore
MANGAWANMDH_MGN MANGAWAN,0,0.0,6.94,6.94,Ignore
KOTMA,0,0.0,3.97,6.93,Ignore
RJSCMATIGARASPLITODH_IXB MATIGARA,0,0.0,6.93,6.93,Ignore
KALOLHUB_GAN GANDHINAGAR,0,0.0,6.93,6.93,Ignore
AMBEGAONHUB_AMB AMBEGAON,0,0.0,6.17,6.92,Ignore
SWATI KAGDA NALLASOPARA,0,0.0,6.92,6.92,Ignore
MANANTHAVADYHUB_MDY MANANTHAVADY,0,0.0,4.77,6.92,Ignore
BIRBHUM,0,0.0,6.92,6.92,Ignore
BYATARAYANAPURAHUB_BLR,0,0.0,6.92,6.92,Ignore
SASVAIKOMODH_VKM VAIKOM,0,0.0,3.46,6.92,Ignore
KUMBAKONAMHUB_TNJ KUMBAKONAM,0,0.0,6.35,6.92,Ignore
KOCHI HUB COCHIN,0,0.0,4.81,6.91,Ignore
PANDHARKAWDAODH_PKW PANDHARKAWDA,0,0.0,6.43,6.91,Ignore
SINGRAULIHUB_SGU SINGRAULI,0,0.0,5.74,6.91,Ignore
CHANDRAKONAHUB_CDR CHANDRAKONA,0,0.0,6.91,6.91,Ignore
KANINA,0,0.0,6.9,6.9,Ignore
KICHHAODH_KCH RUDRAPUR,0,0.0,6.89,6.89,Ignore
PANDHARPURHUB_PDH PANDHARPUR,0,0.0,6.0,6.89,Ignore
AMROHAHUB_AOA AMROHA,0,0.0,6.54,6.88,Ignore
DALKHOLAHUB_DLK RAIGANJ,0,0.0,5.06,6.88,Ignore
PATALGANGA,0,0.0,6.88,6.88,Ignore
ELASTICRUNNANDANAPARKODH_KOL KOLKATA,0,0.0,5.83,6.88,Ignore
MOHAMMADABAD,0,0.0,6.22,6.88,Ignore
PATHSALAHUB_PBL PATHSALA,0,0.0,6.87,6.87,Ignore
TRISSUR HUB THRISSUR,0,0.0,6.17,6.87,Ignore
HOSUR HUB HOSUR,0,0.0,3.34,6.87,Ignore
BHOKAR,0,0.0,6.87,6.87,Ignore
FAIZABADHUB_FZB FAIZABAD,0,0.0,4.08,6.87,Ignore
"NADIAD, NADIAD, GUJARAT",0,0.0,5.57,6.87,Ignore
VIJAYAPURA,0,0.0,5.85,6.86,Ignore
IBRAHIMPATNAM,0,0.0,4.83,6.86,Ignore
PAVGADAHUB_PVG PAVAGADA,0,0.0,6.86,6.86,Ignore
RAJANAGARAMHUB_RJY RAJAHMUNDRY,0,0.0,6.85,6.85,Ignore
VETTICHIRA,0,0.0,6.26,6.85,Ignore
AMEENPURHUB_HYD HYDERABAD,0,0.0,6.85,6.85,Ignore
HALIYALHUB_HYL HALIYAL,0,0.0,2.6,6.85,Ignore
CHANDRASEKHARPUR HUB BHUBANESHWAR,0,0.0,6.1,6.84,Ignore
CABTNASRULLAGANJODH_NSR NASRULLAGANJ,0,0.0,6.84,6.84,Ignore
AIRPORTRDHUB_HSS HISSAR,0,0.0,2.68,6.83,Ignore
ANAND VIHAR HUB DELHI,0,0.0,3.93,6.83,Ignore
THALAYOLAPARAMBUHUB_THA THALAYOLAPARAMBU,0,0.0,5.75,6.83,Ignore
AREECODEHUB_ARC AREECODE,0,0.0,6.82,6.82,Ignore
SASKUNDAPURODH_KND UDUPI,0,0.0,6.14,6.82,Ignore
SHAHDOLHUB_SHD SHAHDOL,0,0.0,4.02,6.81,Ignore
"ATELA, ATELA, HARYANA",0,0.0,6.8,6.8,Ignore
LADWA,0,0.0,6.8,6.8,Ignore
IDENTIFYPLUSSANTRAVIDASNAGARODH_SRN SANTRAVIDASNAGAR,0,0.0,6.8,6.8,Ignore
BALASUNDAR TIRUNELVELI,0,0.0,6.79,6.79,Ignore
DALIP KUMAR GURGAON,0,0.0,6.78,6.78,Ignore
UTANGARAIHUB_UTN UTANGARAI,0,0.0,5.57,6.78,Ignore
"MANANTHAVADY, MANANTHAVADY, KERALA",0,0.0,6.78,6.78,Ignore
KEERTHY KUMAR HOME BANGALORE,0,0.0,6.77,6.77,Ignore
PATIALA HUB PATIALA,0,0.0,3.63,6.77,Ignore
THIRUCHENGODEODH_TCG THIRUCHENGODE,0,0.0,6.77,6.77,Ignore
KARNPRAYAGMDH_KAR KARNPRAYAG,0,0.0,6.77,6.77,Ignore
NIRMAL AJMER,0,0.0,6.77,6.77,Ignore
VIKASNAGARHUB_VIK VIKASNAGAR,0,0.0,6.77,6.77,Ignore
MONU GENERAL STORE GURGAON,0,0.0,6.77,6.77,Ignore
TTSPLGANGAPURODH_GAG GANGAPUR CITY,0,0.0,5.88,6.76,Ignore
KAZIPETHUB_WGL KAZIPET,0,0.0,5.21,6.76,Ignore
KURNOOL HUB KURNOOL,0,0.0,2.92,6.76,Ignore
MALAYINKEEZHUHUB_MYZ MALAYINKEEZH,0,0.0,4.79,6.75,Ignore
POONCHODH_PNH POONCH,0,0.0,4.81,6.75,Ignore
BARAMKELAHUB_BAR,0,0.0,6.75,6.75,Ignore
PORVORIM HUB PORVORIM,0,0.0,5.91,6.74,Ignore
ETASHZUANGTUIODH_AJL AIZAWL,0,0.0,6.74,6.74,Ignore
ITANAGARHUB_ITO ITANAGAR,0,0.0,6.74,6.74,Ignore
MAHADEV ENTERPRISE NEW DELHI,0,0.0,6.74,6.74,Ignore
GARDENCITYHUB_MYS MYSORE,0,0.0,6.74,6.74,Ignore
ELASTICRUNUMBERGAONODH_UMB UMBERGAON,0,0.0,3.75,6.74,Ignore
"CITY- NEW DELHI, STATE- DELHI, IN",0,0.0,5.17,6.73,Ignore
PATTANMDH_PTN BARAMULLA,0,0.0,6.73,6.73,Ignore
VIJAYNAGARHUB_DEL NEW DELHI,0,0.0,6.61,6.73,Ignore
SHALIMARGARDENHUB_DEL GHAZIABAD,0,0.0,4.25,6.73,Ignore
SAIDPURHUB_SDP SAIDPUR,0,0.0,6.72,6.72,Ignore
KISHANGANJHUB_KNE KISHANGANJ,0,0.0,6.71,6.71,Ignore
ELASTICRUNAMBAHODH_AMB MORENA,0,0.0,6.71,6.71,Ignore
KARUVATTAHUB_KVT KARUVATTA,0,0.0,6.71,6.71,Ignore
NARASARAOPETHUB_NRT NARASARAOPET,0,0.0,4.76,6.71,Ignore
UP STORE MANJERI,0,0.0,6.7,6.7,Ignore
DARSHAN L HOME BANGALORE,0,0.0,6.7,6.7,Ignore
NELAMANGALAHUB_BLR BENGALURU,0,0.0,4.92,6.7,Ignore
KWARSIHIGHWAYHUB_ALG ALIGARH,0,0.0,5.02,6.7,Ignore
PILIBHITHUB_PII PILIBHIT,0,0.0,6.7,6.7,Ignore
MEHSANA HUB MEHSANA,0,0.0,6.42,6.69,Ignore
NARKATIAGANJHUB_NKE NARKATIAGANJ,0,0.0,6.69,6.69,Ignore
ARR ENTERPRISE HUZUR,0,0.0,6.69,6.69,Ignore
PATIL MOBILE SHOPY AMANAPUR SANGLI,0,0.0,6.69,6.69,Ignore
AYOORHUB_AYR KOLLAM,0,0.0,6.69,6.69,Ignore
KHANDAGIRI HUB BHUBANESHWAR,0,0.0,6.15,6.69,Ignore
"MADHUBANI, BIHAR, IN",0,0.0,6.69,6.69,Ignore
NAINIHUB_RMB RAMBAGH,0,0.0,6.68,6.68,Ignore
ELASTICRUNRAIPURSPLITODH_RPR RAIPUR,0,0.0,4.56,6.68,Ignore
SANJAY STORE GURGAON,0,0.0,6.68,6.68,Ignore
DAHANUHUB_MUM DAHANU,0,0.0,6.68,6.68,Ignore
ANMOL COACHING GREATER NOIDA,0,0.0,5.94,6.67,Ignore
FORBESGANJHUB_FBG FORBESGANJ,0,0.0,6.67,6.67,Ignore
AMALAPURAM HUB AMALAPURAM,0,0.0,6.67,6.67,Ignore
ELASTICRUNPATHALGAONODH_PGN PATHALGAON,0,0.0,6.67,6.67,Ignore
SOUKYA ETAIL CPU,0,0.0,6.67,6.67,Ignore
CABTNOWGANGODH_NWG CHHATARPUR,0,0.0,6.66,6.66,Ignore
BRAMHAPURI,0,0.0,5.65,6.66,Ignore
JINDHUB_JND JIND,0,0.0,6.26,6.66,Ignore
BHAGALPUR HUB BHAGALPUR,0,0.0,4.56,6.65,Ignore
NAGERCOIL HUB,0,0.0,4.38,6.65,Ignore
NAWADAHHUB_NWD NAWADA,0,0.0,5.95,6.64,Ignore
SUDHIRKUMAR RAMI HIMATNAGAR,0,0.0,6.64,6.64,Ignore
SHERGHATIHUB_GAY SHERGHATI,0,0.0,6.64,6.64,Ignore
ROHTAK HUB ROHTAK,0,0.0,5.38,6.64,Ignore
RANAGHATHUB_RHA,0,0.0,6.64,6.64,Ignore
BAPATLAHUB_BPT BAPATLA,0,0.0,5.06,6.64,Ignore
THOKOTTUHUB_IXE MANGALORE,0,0.0,6.64,6.64,Ignore
ALLAHABAD HUB ALLAHABAD,0,0.0,3.7,6.63,Ignore
SHRIRAMPURHUB_SMP SHRIRAMPUR,0,0.0,6.63,6.63,Ignore
KUTTICHIRAOSH_KTC THRISSUR,0,0.0,6.63,6.63,Ignore
"DEL/SDE, NEW DELHI, DELHI",0,0.0,6.63,6.63,Ignore
LAV KUSH INTERPRISES GURGAON,0,0.0,4.94,6.63,Ignore
HAFLONGHUB_LFG HAFLONG,0,0.0,2.84,6.62,Ignore
TTSPLKUCHAMANCITYODH_KUC KUCHAMANCITY S.O,0,0.0,6.62,6.62,Ignore
BHANKROTAHUB_JAI JAIPUR,0,0.0,4.28,6.62,Ignore
SITICSKHANDAGIRISPILTODH_BBI BHUBANESWAR,0,0.0,6.43,6.62,Ignore
PATTIODH_PTT PATTI,0,0.0,3.4,6.62,Ignore
"BIDAR3, BIDAR, KARNATAKA",0,0.0,5.74,6.61,Ignore
JANGAONHUB_JGN JANAGAON,0,0.0,4.32,6.61,Ignore
"PNQ/CHK, PUNE, MAHARASHTRA",0,0.0,2.06,6.61,Ignore
SASTHURAVOORODH_THO THURAVOOR,0,0.0,6.3,6.61,Ignore
REWARI HUB REWARI,0,0.0,2.66,6.61,Ignore
DAVINDER KIRANA LUDHIANA,0,0.0,6.6,6.6,Ignore
CHOUDWARHMDH_BBI JAGATPUR,0,0.0,6.6,6.6,Ignore
ELASTICRUNZIRAKPURODH_ZRK ZIRAKPUR,0,0.0,3.01,6.6,Ignore
ELASTICRUNKADIRIODH_KDR ANANTAPUR,0,0.0,5.61,6.59,Ignore
IRFAN KIRANA W26,0,0.0,6.59,6.59,Ignore
IRINJALAKUDAHUB_IJK TRISSHUR,0,0.0,2.35,6.59,Ignore
CONNECTINDIANEWTOWNODH_KOL KOLKATA,0,0.0,4.24,6.59,Ignore
PATIALAHUBTEMP_PTA PATIALA,0,0.0,4.55,6.58,Ignore
RAJVIR STORE GURGAON,0,0.0,6.58,6.58,Ignore
LAKHISARAIHUB_LKR LAKHISARAI,0,0.0,4.72,6.58,Ignore
MANGALAGIRIHUB_MGG MANGALAGIRI,0,0.0,6.58,6.58,Ignore
SONGADH,0,0.0,6.58,6.58,Ignore
BAPUNAGARHUB_AMD,0,0.0,3.75,6.58,Ignore
VK KIRANA KHAMGAON,0,0.0,6.57,6.57,Ignore
BHOKARDANHUB_BHK BHOKARDAN,0,0.0,6.57,6.57,Ignore
CHUMUKEDIMA,0,0.0,6.57,6.57,Ignore
GUNJURHUB_BLR BENGALURU,0,0.0,2.96,6.57,Ignore
CHERIALHUB_CRL WARANGAL,0,0.0,3.94,6.57,Ignore
NEHRUPLACEHUB_DEL,0,0.0,0.37,6.56,Ignore
CHANDRAKONA,0,0.0,6.56,6.56,Ignore
NAKODA STORE INDORE,0,0.0,6.55,6.55,Ignore
TTSPLBAIJNATHODH_BJN BAIJNATH,0,0.0,6.55,6.55,Ignore
SASEDAPPALODH_EPP EDAPPAL,0,0.0,3.75,6.55,Ignore
UJJAIN HUB UJJAIN,0,0.0,3.94,6.54,Ignore
JMD KIRANA STORE GURGAON,0,0.0,6.53,6.53,Ignore
CHAVARATTIL SUNIL HOME THRISSUR,0,0.0,6.53,6.53,Ignore
AMBADATHU HOUSE THRISSUR,0,0.0,5.85,6.53,Ignore
BOBBILI,0,0.0,6.43,6.53,Ignore
KUTHUPARAMBAHUB_MKD,0,0.0,5.0,6.53,Ignore
KADAPA HUB KADAPA,0,0.0,5.29,6.53,Ignore
PATHAN STORE MUMBAI,0,0.0,6.52,6.52,Ignore
DOBBASPET,0,0.0,6.23,6.52,Ignore
MANIPAL HUB MANIPAL,0,0.0,4.69,6.52,Ignore
BASIRHATHUB_BSH BASIRHAT,0,0.0,6.52,6.52,Ignore
HAMIRPURHUB_HMP HAMIRPUR,0,0.0,5.88,6.52,Ignore
MASTER KIRANA MALLIKARJUNA BANGALORE,0,0.0,6.52,6.52,Ignore
BENAULIMHUB_GOA VERNA,0,0.0,1.47,6.51,Ignore
GUMTI HUB KANPUR,0,0.0,4.48,6.51,Ignore
CHAPRAHUB_CPR CHAPRA,0,0.0,5.37,6.51,Ignore
CHITRADURGAHUB_CDR CHITRADURGA,0,0.0,6.5,6.5,Ignore
ABODH SHUKLA GURGAON,0,0.0,6.19,6.5,Ignore
KANJIRAMKULAMHUB_KKM TRIVANDRUM,0,0.0,6.49,6.49,Ignore
MUNIGUDAHUB_GNP KORAPUT,0,0.0,6.49,6.49,Ignore
BHATTIPROLU,0,0.0,6.49,6.49,Ignore
VIJAYWADA WAREHOUSE,0,0.0,5.63,6.49,Ignore
DABRAHUB_DAB DABRA,0,0.0,6.49,6.49,Ignore
GIAIPURAOSH_LUH,0,0.0,6.49,6.49,Ignore
HOSPETHUB_HPT HOSPET,0,0.0,4.32,6.48,Ignore
YAMUNANAGARHUB_YNR YAMUNANAGAR,0,0.0,4.62,6.48,Ignore
YERNAGUDEMHUB_RJY EAST GODAVARI,0,0.0,6.48,6.48,Ignore
PATHANAMTHITTAHUB_PMT PATHANAMTHITTA,0,0.0,3.77,6.47,Ignore
"RENUKOOT, RENUKOOT, UTTAR PRADESH",0,0.0,6.47,6.47,Ignore
MANNARKKADHUB_MRK MANNARKKAD,0,0.0,4.3,6.47,Ignore
KURSEONGHUB_KUR DARJEELING,0,0.0,5.53,6.47,Ignore
DEVANAHALLIHUB_DHL DEVANAHALLI,0,0.0,5.73,6.47,Ignore
RAJKOT HUB RAJKOT,0,0.0,5.04,6.47,Ignore
KANTABANJIMDH_BLG BALANGIR,0,0.0,3.75,6.47,Ignore
PORBANDARHUB_POR PORBANDAR,0,0.0,2.97,6.47,Ignore
TROCKOSAINIKPURIODH_HYD HYDERABAD,0,0.0,6.12,6.46,Ignore
KUDLIGIHUB_KDG KUDLIGI,0,0.0,6.46,6.46,Ignore
SATISH KIRANA STORE ROHTAK,0,0.0,6.46,6.46,Ignore
KORBAHUB_KOR KORBA,0,0.0,6.46,6.46,Ignore
LOVE CHONDE ROHA,0,0.0,6.45,6.45,Ignore
BANASWADI PUD CENTRE,0,0.0,4.7,6.45,Ignore
TIRUVALLA HUB TIRUVALLA,0,0.0,3.22,6.45,Ignore
MERCES HUB PANJIM,0,0.0,3.07,6.44,Ignore
ELASTICRUNKAPURTHALAODH_KPT KAPURTHALA,0,0.0,5.85,6.44,Ignore
DHARMAVARAM,0,0.0,6.44,6.44,Ignore
PINJOREODH_PNJ PINJORE,0,0.0,4.65,6.44,Ignore
RATHEESH V HOME ERNAD,0,0.0,6.44,6.44,Ignore
BADAUNHUB_BUN BADAUN,0,0.0,6.34,6.44,Ignore
CHIKKABALLAPURAHUB_CBP CHIKKABALLAPURA,0,0.0,6.43,6.43,Ignore
WARDHAMANNAGAR_NAG NAGPUR,0,0.0,2.39,6.43,Ignore
YADAV ENTERPRISES MUMBAI,0,0.0,6.43,6.43,Ignore
TTSPLKHUNDIANODH_KHD JAWALAMUKHI S.O,0,0.0,6.43,6.43,Ignore
KURUKSHETRA HUB KURUKSHETRA,0,0.0,5.01,6.42,Ignore
KHURDAHUB_KUD KHURDA,0,0.0,3.57,6.42,Ignore
EASY SERVICE SALEM,0,0.0,6.41,6.41,Ignore
SAQIB COMMUNICATION NEW DELHI,0,0.0,4.19,6.41,Ignore
BABNAMDH_FRR FARRUKHABAD,0,0.0,3.56,6.41,Ignore
BAREILLY HUB BAREILLY,0,0.0,4.22,6.41,Ignore
JATHHUB_JTH JATH,0,0.0,5.28,6.41,Ignore
AMBASAMUDRAMHUB_AMS TIRUNELVELI,0,0.0,5.64,6.41,Ignore
SITICSMARTHANDAMODH_MTM MARTHANDAM,0,0.0,3.91,6.4,Ignore
RAJAJINAGAR HUB BENGALURU,0,0.0,4.94,6.4,Ignore
SIRSAHUB_SRS SIRSA,0,0.0,4.03,6.4,Ignore
VIDYANAGAR HUB BHOPAL,0,0.0,2.72,6.4,Ignore
ABHANPURMDH_ABN RAIPUR,0,0.0,6.4,6.4,Ignore
JALANDHARBASTIYAODH_JLR JALANDHAR,0,0.0,0.66,6.38,Ignore
DASUAHUB_DSU DASUA,0,0.0,4.38,6.38,Ignore
IDENTIFYPLUSMULMDH_MUL MUL,0,0.0,6.35,6.38,Ignore
BHATKALHUB_BKL BHATKAL,0,0.0,5.39,6.37,Ignore
RAJAHMUNDRY,0,0.0,6.37,6.37,Ignore
HIRANAGARMDH_HIR KATHUA,0,0.0,5.59,6.37,Ignore
ASHOK GIFT STORE PANIPAT,0,0.0,5.79,6.37,Ignore
ELASTICRUNMANDLAODH_MDL MANDLA,0,0.0,6.37,6.37,Ignore
JEJURIHUB_JEJ JEJURI,0,0.0,5.71,6.36,Ignore
ELASTICRUNDAHISARODH_MUM MUMBAI,0,0.0,3.38,6.36,Ignore
AURAIYAHUB_ARY AURAIYA,0,0.0,4.5,6.36,Ignore
"SAHSON, SAHSON, UTTAR PRADESH",0,0.0,6.36,6.36,Ignore
SASMADUKKARAIODH_MKK COIMBATORE,0,0.0,6.35,6.35,Ignore
RISHIKESHHUB_HRD HARIDWAR / RISHIKESH,0,0.0,4.56,6.34,Ignore
ASHOK KUMAR NEW DELHI,0,0.0,6.25,6.34,Ignore
JALGAON HUB JALGAON,0,0.0,4.57,6.34,Ignore
TTSPLNIMBAHERAODH_NMB NIMBAHERA S.O,0,0.0,6.29,6.33,Ignore
ANNAPURNADANKUNIODH_KOL HOOGHLY,0,0.0,6.33,6.33,Ignore
THALIPARAMBAHUB_KAN KANNUR,0,0.0,5.08,6.33,Ignore
ELASTICRUNNAKODARODH_NKD NAKODAR,0,0.0,3.12,6.33,Ignore
"DULIAJAN, ASSAM, IN",0,0.0,6.22,6.33,Ignore
PANIPAT HUB PANIPAT,0,0.0,5.04,6.33,Ignore
BIJANBARIMDH_BJN BIJANBARI,0,0.0,6.32,6.32,Ignore
RINGROADHUB_DED DEHRADUN,0,0.0,5.82,6.31,Ignore
RITUPON SAIKIA BOKAKHAT,0,0.0,6.31,6.31,Ignore
KAHALGAONHUB_CLG KAHALGAON,0,0.0,6.31,6.31,Ignore
BHUJHUB_BHJ BHUJ,0,0.0,4.23,6.3,Ignore
SARANYA STORES COIMBATORE,0,0.0,6.3,6.3,Ignore
AYYANTHOLEHUB_AYY AYYANTHOLE,0,0.0,2.51,6.3,Ignore
ELASTICRUNSANATHNAGARODH_HYD HYDERABAD,0,0.0,4.8,6.29,Ignore
PIDUGURALLAODH_STN PIDUGURALLA,0,0.0,4.29,6.29,Ignore
PANAYIKKULAMHUB_PNK VARAPUZHA,0,0.0,4.81,6.29,Ignore
BRIJESH KUMAR PANDEY NEW DELHI,0,0.0,6.29,6.29,Ignore
GURGAON HUB GURGAON,0,0.0,2.51,6.29,Ignore
KARUNAGAPALLIHUB_KUI KARUNAGAPALLI,0,0.0,3.97,6.28,Ignore
VAYATHURHUB_VYT VAYATHUR,0,0.0,6.12,6.28,Ignore
THIRUVALLUR HUB THIRUVALLUR,0,0.0,4.95,6.27,Ignore
"HINDUPUR, HINDUPUR, ANDHRA PRADESH",0,0.0,6.2,6.27,Ignore
DEPENDOADAVISRIRAMPURODH_ADR KARIM NAGAR,0,0.0,4.94,6.27,Ignore
RAJ KISHOR STORE BOKAJAN,0,0.0,6.27,6.27,Ignore
CABTSIBPURODH_KOL HOWRAH,0,0.0,4.71,6.26,Ignore
MANKALA DEVI THANE,0,0.0,6.26,6.26,Ignore
IMAMGANJMDH_IMG GAYA,0,0.0,6.25,6.25,Ignore
BHATINDA HUB BHATINDA,0,0.0,3.56,6.25,Ignore
IRINJALAKUDAHUB_IJK,0,0.0,6.25,6.25,Ignore
KOTHRUD(PUNE),0,0.0,5.62,6.24,Ignore
FIROZABAD HUB FIROZABAD,0,0.0,5.25,6.24,Ignore
ANAKAPALLIHUB_AKP ANAKAPALLI,0,0.0,6.04,6.24,Ignore
RAVULAPALEMHUB_MDP MANDAPETA / RAVULAPALEM,0,0.0,6.24,6.24,Ignore
